text,aspect,label
"The wine list isn't great, and the desserts are shipped in from Bruno's down the street, which is not as good as it used to be.",wine list,negative
"While certain staples are excellent (the burger, some of the pastas), the food is not really the point.",staples,positive
"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",service,positive
As we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were.,employees,negative
"But, nothing stands out about the cooking.",cooking,neutral
They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,thai,neutral
All conveniently delivered right to the door.,delivered,positive
"Delicate spices, onions, eggs and a kick-ass roti.",eggs,positive
I highly recommend visiting this restaurant and having dinner and drinks!,drinks,positive
In reality (to maximize potential diners) they were still taking phone reservations and reallocating tables of those waiting in the lobby.,lobby,neutral
Very popular style Izakaya (Sake and small portion of sake-friendly dishes ).,dishes,positive
"The service is friendly, if not the most prompt in the world, the food is great, and the prices, while not cheap, won't put your wallet out of commission.",service,positive
"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",bread,negative
"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",beginning appetizers,positive
The fish was not fresh and the rice tasted old and stale.,fish,negative
all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,food,positive
"From the spectacular caviar to the hospitable waitstaff, I felt like royalty and enjoyed every second of it.",caviar,positive
My son and his girlfriend both wanted cheeseburgers and they were huge!,cheeseburgers,positive
The wine the service was very good too.,wine,positive
"No dress codes, no attitudes, plenty of comfort companionship, a great place to relax in an always busy Midtown.",attitudes,positive
And I would have to agree with the masses in terms of service - delivery is their Achilles' heel.,delivery,negative
"They forgot a sandwich, didn't include plastic forks, and didn't include pita with the hummus platter.",pita,neutral
"both are very reasonably priced (around $8 for dinner and $5 for lunch), and are delicious and filling.",dinner,positive
The jukebox plays everything from Italian Opera to The Strokes.,jukebox,positive
"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",pasta,positive
But who says Murray's is anything about service.,service,neutral
"It's super-trendy and there's always someone to take that empty seat, so it seems that customer service has been deemed not of the essence.",seat,neutral
"We ate out in the back patio, which is worth it as it's cool and the music is hear well there.",music,positive
"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",creme brulee,positive
So some of the reviews here are accurate about the crowd and noise.,noise,negative
Pizza was a little soggy.,Pizza,negative
"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",special menu,positive
I went there in late afternoon for some bite size food and refleshment with my date.,refleshment,neutral
"The food is consistently wonderful - I've been coming here for years, and the owner has always been accomodating and friendly.",owner,positive
I would highly recommend Nina's to anyone who wants to have a romantic dinner in a heart warming surrounding filled with candles and family pictures.,pictures,positive
"We were worried we would have trouble getting in, but somehow managed to have a short wait.",wait,positive
"But the best part about LS is the late night atmosphere, delightfully free of the BTs.",atmosphere,positive
