"@id","text","aspectTerms__aspectTerm__@from","aspectTerms__aspectTerm__@polarity","aspectTerms__aspectTerm__@term","aspectTerms__aspectTerm__@to","aspectCategories__aspectCategory__@category","aspectCategories__aspectCategory__@polarity"
"1411","Jídlo taky nic moc","0","negative","Jídlo","5","food","negative"
"1410","Jídlo od Nás dostává 5 z 5 a pan Doksanský (spolumajitel) i jeho personál jsou profesionálové kteří Vám doporučí kvalitní víno nebo jiné pití ke konkrétním jídlům","44","positive","spolumajitel","56","food","positive"
"","","65","positive","personál","73","service","positive"
"","","137","positive","pití","141","",""
"","","156","positive","jídlům","162","",""
"","","122","positive","víno","126","",""
"941","Vloni trochu na kvalitě polevili,ale nadále bezva","","","","","anecdotes/miscellaneous","positive"
"1415","Kdo ví, třeba bych tam ještě po pozitivní konstruktivní kritice dostal přes ústa","","","","","anecdotes/miscellaneous","negative"
"1414","Kdo Vám v dnešní době nabídne výběr z 5 sklutečně fresh jídel, která mají i super chuť","56","positive","jídel","61","food","positive"
"942","Vsichni vime, ze Bio maso je podstatne drazsi nez maso klasicke, ale ceny zde jsou opravdu na ceny z Bio chovu, neni neco spatne?","50","neutral","maso","54","food","neutral"
"","","69","negative","ceny","73","price","negative"
"","","17","neutral","Bio maso","25","",""
"1412","Jistě se k vám brzy vrátím a všem vřele tuto restauraci doporučuji","45","positive","restauraci","55","anecdotes/miscellaneous","positive"
"1419","Mají tu fantastické jídlo a příjemné prostředí!","37","positive","prostředí","46","food","positive"
"","","20","positive","jídlo","25","ambience","positive"
"945","Všichni byli sice milí, ale v pořadu vypadala hospůdka U Štěpána rozhodně lákavěji","46","negative","hospůdka","54","service","positive"
"","","","","","","anecdotes/miscellaneous","negative"
"1418","Ku příkladu dnes 29.10.2013 nabízejí LOSOSO S GRILOVANOU ZELENINOU, RISSOTO a nesmím zapomenout na FRANFURSKOU POLÉVKU","99","neutral","FRANFURSKOU POLÉVKU","118","food","neutral"
"","","37","neutral","LOSOSO S GRILOVANOU ZELENINOU","66","",""
"","","68","neutral","RISSOTO","75","",""
"943","Všechno bylo naprosto bez obtíží, obsluha super, jídlo bez vady","34","positive","obsluha","41","food","positive"
"","","49","positive","jídlo","54","service","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"1416","Když budu chtít zas někdy někoho pozvat,rozhodně ne sem","","","","","anecdotes/miscellaneous","negative"
"944","všechno je super ,tak se nenechte odradit","","","","","anecdotes/miscellaneous","positive"
"948","Vynikající obsluha pozorná vítající hned při příchodu","11","positive","obsluha","18","service","positive"
"531","Rozsah jídelního lístku velký ,jídlo nám vždy chutnalo","31","positive","jídlo","36","food","positive"
"530","RESTAURACI VŠEM DOPOPRUČUJI","0","positive","RESTAURACI","10","anecdotes/miscellaneous","positive"
"1821","Pro mě prostě vynikající steaky v příjemném prostředí, příště kupuji zase a moc se těším!","25","positive","steaky","31","food","positive"
"","","44","positive","prostředí","53","ambience","positive"
"","","","","","","anecdotes/miscellaneous","positive"
"1822","Pro změnu byl steak krvavý a nechutný","14","negative","steak","19","food","negative"
